seed,variant,throughput_mbps,latency_mean_ms,latency_p95_ms,latency_p99_ms,sla_violation_pct,jain_fairness,pdr_pct,action_churn_per_s,unsafe_actions_applied,queue_peak_depth
1027,A3_wo_TVS_EEVS,101.26,1.86,2.35,2.39,0.0,0.9974,96.75,5.0,0,350
1028,A3_wo_TVS_EEVS,100.78,1.85,2.35,2.39,0.0,0.9966,95.28,5.0,0,305
1029,A3_wo_TVS_EEVS,102.15,2.68,11.51,21.65,6.46,0.998,96.71,5.0,0,364
1030,A3_wo_TVS_EEVS,100.47,2.82,11.57,21.83,6.88,0.9958,95.86,5.0,0,363
1001,A4_wo_Safety_Guard,100.87,2.53,11.4,21.36,5.63,0.9978,94.8,3.2,16,381
1002,A4_wo_Safety_Guard,95.52,1.84,2.34,2.39,0.0,0.9936,91.34,3.2,16,340
1003,A4_wo_Safety_Guard,99.93,1.85,2.35,2.39,0.0,0.9973,95.5,3.2,16,344
1004,A4_wo_Safety_Guard,96.09,3.09,11.74,21.92,8.96,0.997,92.11,3.2,16,392
1005,A4_wo_Safety_Guard,95.79,2.56,11.43,21.48,5.88,0.9967,91.24,3.2,16,404
1006,A4_wo_Safety_Guard,100.87,3.35,11.81,31.94,8.0,0.996,95.25,3.2,16,382
1007,A4_wo_Safety_Guard,97.17,2.37,2.39,11.97,4.29,0.9926,93.22,3.2,16,369
1008,A4_wo_Safety_Guard,100.25,3.41,11.85,21.84,12.39,0.9975,95.45,3.2,16,384
1009,A4_wo_Safety_Guard,99.69,2.66,11.53,21.55,6.5,0.9966,94.83,3.2,16,391
1010,A4_wo_Safety_Guard,100.09,6.91,51.42,91.43,12.64,0.9964,94.71,3.2,16,393
1011,A4_wo_Safety_Guard,94.86,1.85,2.35,2.39,0.0,0.9943,90.94,3.2,16,357
1012,A4_wo_Safety_Guard,98.69,1.85,2.34,2.39,0.0,0.9983,92.92,3.2,16,400
1013,A4_wo_Safety_Guard,96.16,3.19,11.78,21.86,10.3,0.9952,91.73,3.2,16,390
1014,A4_wo_Safety_Guard,99.48,2.07,2.37,11.74,2.03,0.997,94.15,3.2,16,402
1015,A4_wo_Safety_Guard,97.38,1.86,2.35,2.39,0.0,0.9973,92.51,3.2,16,390
1016,A4_wo_Safety_Guard,101.41,2.61,11.42,21.7,5.75,0.9964,95.77,3.2,16,404
1017,A4_wo_Safety_Guard,94.18,1.87,2.35,2.39,0.22,0.9898,89.7,3.2,16,387
1018,A4_wo_Safety_Guard,96.77,2.97,11.72,21.77,8.84,0.9971,93.0,3.2,16,401
1019,A4_wo_Safety_Guard,100.56,2.86,11.65,21.42,9.02,0.9974,95.06,3.2,16,397
1020,A4_wo_Safety_Guard,99.48,2.55,11.47,12.0,6.2,0.997,94.57,3.2,16,403
1021,A4_wo_Safety_Guard,100.65,4.89,21.63,41.55,18.68,0.9975,95.67,3.2,16,376
1022,A4_wo_Safety_Guard,100.14,2.31,2.39,11.92,4.34,0.9963,95.44,3.2,16,377
1023,A4_wo_Safety_Guard,100.01,2.93,11.69,21.48,9.75,0.9975,95.49,3.2,16,359
1024,A4_wo_Safety_Guard,95.79,3.52,11.98,31.77,9.58,0.9947,91.46,3.2,16,410
1025,A4_wo_Safety_Guard,96.05,2.07,2.37,11.68,2.13,0.9962,90.77,3.2,16,382
1026,A4_wo_Safety_Guard,95.6,4.78,21.87,41.57,15.05,0.9957,90.88,3.2,16,413
1027,A4_wo_Safety_Guard,99.36,1.98,2.36,11.43,1.19,0.9973,94.29,3.2,16,385
1028,A4_wo_Safety_Guard,98.2,2.04,2.37,11.64,1.87,0.9968,93.65,3.2,16,382
1029,A4_wo_Safety_Guard,99.98,4.36,21.72,51.37,10.5,0.9971,94.47,3.2,16,413
1030,A4_wo_Safety_Guard,98.95,2.95,11.68,21.79,8.58,0.9962,94.13,3.2,16,406
1001,A5_wo_Windowing,83.73,1.95,2.36,2.4,0.88,0.9895,80.2,15.0,0,404
1002,A5_wo_Windowing,80.34,2.03,2.36,11.67,1.64,0.9739,77.73,15.0,0,401
1003,A5_wo_Windowing,88.3,2.18,2.38,11.84,3.08,0.992,84.94,15.0,0,401
1004,A5_wo_Windowing,71.11,1.85,2.35,2.39,0.0,0.9793,69.54,15.0,0,400
1005,A5_wo_Windowing,73.85,1.85,2.34,2.39,0.0,0.984,71.57,15.0,0,400
1006,A5_wo_Windowing,85.06,3.93,21.36,41.65,10.84,0.9946,82.0,15.0,0,410
1007,A5_wo_Windowing,80.24,1.91,2.35,2.39,0.48,0.9749,77.73,15.0,0,404
1008,A5_wo_Windowing,87.68,1.84,2.34,2.39,0.0,0.994,83.89,15.0,0,400
1009,A5_wo_Windowing,81.35,1.88,2.35,2.39,0.21,0.9877,78.02,15.0,0,402
1010,A5_wo_Windowing,83.87,6.69,41.7,71.87,14.72,0.989,80.06,15.0,0,415
1011,A5_wo_Windowing,75.3,1.85,2.34,2.39,0.0,0.9712,73.27,15.0,0,400
1012,A5_wo_Windowing,76.72,1.85,2.34,2.39,0.0,0.9885,74.12,15.0,0,400
1013,A5_wo_Windowing,76.95,3.05,11.75,21.71,10.12,0.9803,74.47,15.0,0,403
1014,A5_wo_Windowing,78.79,1.85,2.34,2.39,0.0,0.9915,76.2,15.0,0,400
1015,A5_wo_Windowing,76.45,1.85,2.35,2.39,0.0,0.9889,73.76,15.0,0,400
1016,A5_wo_Windowing,81.69,1.85,2.34,2.39,0.0,0.9959,78.11,15.0,0,400
1017,A5_wo_Windowing,77.21,2.15,2.37,11.8,2.86,0.9706,74.45,15.0,0,401
1018,A5_wo_Windowing,79.77,2.13,2.37,11.81,2.55,0.9823,76.96,15.0,0,403
1019,A5_wo_Windowing,85.83,1.85,2.34,2.39,0.0,0.9899,81.68,15.0,0,400
1020,A5_wo_Windowing,79.33,3.06,11.73,21.46,11.28,0.9939,76.68,15.0,0,405
1021,A5_wo_Windowing,80.44,1.85,2.35,2.39,0.0,0.9882,77.89,15.0,0,400
1022,A5_wo_Windowing,85.0,1.85,2.34,2.39,0.0,0.9881,82.18,15.0,0,400
1023,A5_wo_Windowing,79.59,2.18,2.38,11.85,2.9,0.9872,77.73,15.0,0,406
1024,A5_wo_Windowing,76.65,1.93,2.35,2.4,0.71,0.9721,74.18,15.0,0,402
1025,A5_wo_Windowing,79.16,1.95,2.35,2.4,0.9,0.9777,76.59,15.0,0,401
1026,A5_wo_Windowing,77.72,3.94,21.43,31.78,12.77,0.9777,75.42,15.0,0,409
1027,A5_wo_Windowing,82.27,1.85,2.34,2.39,0.0,0.9944,78.95,15.0,0,400
1028,A5_wo_Windowing,81.95,1.85,2.35,2.39,0.0,0.9838,79.18,15.0,0,400
1029,A5_wo_Windowing,77.93,2.47,2.38,21.84,3.42,0.989,75.19,15.0,0,405
1030,A5_wo_Windowing,81.96,2.75,2.39,31.55,4.53,0.9893,79.13,15.0,0,408
